fixture_id,source_listing,camera,dimensions,no_products,geometry_reference,empty_inner_reference,visual_match_assessment,notes
fixture_001,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,original_occupied_examples_only,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_002,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,original_occupied_examples_only,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_003,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,original_occupied_examples_only,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_004,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,original_occupied_examples_only,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_005,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,original_occupied_examples_only,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_006,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,original_occupied_examples_only,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_007,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,original_occupied_examples_only,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_008,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,original_occupied_examples_only,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_009,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,original_occupied_examples_only,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_010,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,original_occupied_examples_only,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_011,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,original_occupied_examples_only,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_012,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,original_occupied_examples_only,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_013,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,original_occupied_examples_only,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_014,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,original_occupied_examples_only,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_015,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,original_occupied_examples_only,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_016,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,original_occupied_examples_only,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_017,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,original_occupied_examples_only,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_018,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,original_occupied_examples_only,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_019,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,guide_icon_and_gameplay_device_examples,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_020,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,guide_icon_and_gameplay_device_examples,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_021,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,guide_icon_and_gameplay_device_examples,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_022,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,guide_icon_and_gameplay_device_examples,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_023,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,guide_icon_and_gameplay_device_examples,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_024,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,guide_icon_and_gameplay_device_examples,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_025,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,guide_icon_and_gameplay_device_examples,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_026,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,guide_icon_and_gameplay_device_examples,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_027,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,guide_icon_and_gameplay_device_examples,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_028,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,guide_icon_and_gameplay_device_examples,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_029,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,guide_icon_and_gameplay_device_examples,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_030,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,guide_icon_and_gameplay_device_examples,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_031,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,guide_icon_and_gameplay_device_examples,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_032,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,guide_icon_and_gameplay_device_examples,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
